userId,topicId,rating,timestamp
28,15,1.55,58
28,15,1,156
28,15,1,51
28,15,1,95
28,15,1,8
28,15,1,40
30,15,1,35
29,15,1,20
40,15,1,9
40,15,2.47,1
28,15,1,170
28,15,1,8
28,15,1,60
28,15,1,12
31,15,1,19
31,15,1,9
31,15,1,15
31,15,1,60
31,15,1,19
31,15,1,120
31,15,1.1,82
31,15,1,167
31,15,1,57
31,15,1,184
31,15,1,24
31,15,1,12
31,15,1,13
31,15,1,9
31,15,1,8
31,15,1,20
31,15,1,7
31,15,1.59,21
31,15,1,4
31,15,1,9
31,15,1.48,9
31,15,1.8,6
31,15,1,2
31,15,1,3
31,15,1.1,34
31,15,1,58
31,15,1,36
31,15,1.5,47
31,15,1.67,99
31,15,1,12
31,15,1.91,30
31,15,1,9
31,15,1,29
31,15,1.89,7
31,15,1.04,28
29,15,1,49
43,15,1,142
44,15,1.75,66
30,15,1,61
44,15,1,104
28,15,3.05,12
40,15,1.04,39
25,15,1,96
25,15,1,7
44,15,1,7
45,15,2.16,22
44,15,1,2
29,15,1,1
36,15,1,2
47,15,1,1
50,15,2.09,2
50,15,1.1,6
50,15,1.25,9
50,15,1,4
50,15,1,9
50,15,1,1
50,15,1.25,1
50,15,1,62
50,15,1,3
50,15,1.25,3
50,15,1.1,2
50,15,1,50
50,15,1,9
52,15,1,95
40,14,1.09,130
40,14,1,75
40,14,1,2
40,14,1.32,9
40,14,1.73,1
40,14,1,3
40,14,1,1
40,14,1,41
40,14,1,12
40,14,1,27
40,14,1.7,2
40,14,1,2
40,13,1,2
40,12,1,19
40,12,1,1
40,12,1,1
40,12,2.6,1
40,12,2.76,3
40,12,1,1
40,12,2.48,3
40,12,1,39
40,12,2,34
40,12,1.7,24
40,12,1.87,22
40,12,2.3,1
40,12,1,1
40,12,1,3
39,12,1.34,2
39,12,1.4,1
40,12,2.3,1
42,12,1,1
41,12,1,1
58,12,1.16,2
58,12,1,1
28,12,1.43,2
28,12,2.29,1
28,12,1,1
28,12,1,1
28,12,1,2
28,12,1,270
28,12,2.22,85
28,12,2.1,202
28,12,1,6
28,12,1,4
28,12,1,14
28,12,1,4
28,12,1,4
28,12,1,2
28,12,2.01,10
